#_prom,Player,Team_prom,GP,MIN_x,PTS,FGM_x,FGA_x,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST_x,STL,BLK,TOV,PF,#_adv,Team_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN_y,Pos,Team_x,Team_completo,Team_y,FGM_y,AST_y,FGA_y,HOB,Ast/TO,Stl/TO,FT/FGA,Posesiones_equipo,Pace_del_equipo,Puntos_Producidos,Posesiones_Ofensivas,Ofensa_Marginal,Puntos_Marginales_por_Victoria,OWS
85,MUHAMMAD-ALI ABDUR-RAHKMAN,BBB,34,23.5,15.9,5.3,13.8,0.381,2.5,7.6,0.327,2.9,3.4,0.842,0.8,2.2,3.1,3.1,1.3,0.1,2.2,4.0,185,BBB,0.518,0.471,155.1,2.8,8.0,5.3,16.0,12.6,2.0,0.4,23.4,-0.3,1.1,103.6,116.1,-12.4,158.8,11.5,800.2,G,BBB,BILBAO BASKET,BILBAO BASKET,958,562,2202,0.008768267223382047,1.409090909090909,0.5909090909090908,0.21014492753623187,960.8960000000001,1635.5676595744683,17.45,18.396,-2.2497084581894313,8.009064262384129,-0.2808952936931162
86,JAN VESELY,FCB,15,16.8,15.9,5.4,9.7,0.559,0.4,1.4,0.3,4.6,5.0,0.914,1.7,4.1,5.9,4.4,0.7,0.4,1.7,7.4,62,FCB,0.665,0.581,177.3,6.4,14.5,10.6,19.2,12.6,1.1,1.3,17.8,3.4,1.6,136.0,115.7,20.2,81.6,17.0,251.9,PF,FCB,BARCA,BARCA,1151,637,2259,0.00851433536055604,2.588235294117647,0.4117647058823529,0.4742268041237113,1153.2,2745.7142857142853,18.1,16.299999999999997,0.6448332317630125,13.445241492579541,0.04795995907688958
87,BRUNO FERNANDO,RMB,14,15.4,15.9,6.7,11.0,0.606,0.2,0.3,0.5,2.3,3.8,0.609,4.0,8.3,12.4,1.3,1.0,1.3,2.2,5.5,30,RMB,0.624,0.614,171.5,13.3,25.9,19.8,6.9,14.6,1.5,4.2,18.7,-3.5,1.4,119.1,98.0,21.1,90.9,19.0,215.7,C,RMB,REAL MADRID,REAL MADRID,1046,595,2205,0.0076481835564053535,0.5909090909090908,0.45454545454545453,0.20909090909090908,1045.872,2716.5506493506496,16.55,13.972000000000001,1.5878165591529267,13.302432702986616,0.11936287103308824
88,MOR MASSAMBA DIOP,GCN,17,4.4,15.9,6.2,8.2,0.765,0.0,0.0,0.0,3.4,7.2,0.467,2.4,2.4,4.8,0.0,1.0,1.4,2.9,6.7,114,GCN,0.699,0.765,123.1,9.3,9.4,9.3,0.0,20.3,1.5,4.6,19.4,-8.4,1.9,111.3,121.9,-10.6,15.4,14.3,75.0,C,GCN,DREAMLAND GRAN CANARIA,DREAMLAND GRAN CANARIA,1074,614,2233,0.005772811918063315,0.0,0.3448275862068966,0.41463414634146345,1077.668,9796.981818181815,15.9,11.367999999999999,3.7263597655633056,47.973959682989516,0.07767463411790436
89,NIKOS CHOUGKAZ,AND,30,21.6,15.8,5.4,11.1,0.485,1.6,3.8,0.426,3.4,4.2,0.816,3.0,6.7,9.7,1.6,1.2,0.8,1.6,4.1,39,AND,0.61,0.558,172.7,11.1,24.0,17.6,7.2,10.7,1.8,2.4,18.6,-1.3,1.4,127.5,117.9,9.6,251.3,18.3,647.4,F,AND,MORABANC ANDORRA,MORABANC ANDORRA,1049,543,2203,0.00667302192564347,1.0,0.7499999999999999,0.3063063063063063,1049.4479999999999,1943.4222222222218,16.6,14.548,1.0209959420667634,9.516569599311316,0.1072861319840134
90,L.J. FIGUEROA,LBC,11,14.0,15.8,6.1,12.8,0.473,0.9,3.0,0.308,2.8,4.0,0.706,1.9,4.9,6.8,2.3,2.1,0.5,1.9,6.1,105,LBC,0.544,0.509,148.6,7.0,17.5,12.4,10.8,11.4,3.1,1.5,20.9,-0.9,1.2,110.9,117.7,-6.8,44.1,14.8,154.5,SF,LBC,CB CORUNA,CB CORUNA,1036,695,2234,0.008108108108108107,1.2105263157894737,1.105263157894737,0.21874999999999997,1037.76,2965.028571428571,16.95,16.86,-1.1048534792929878,14.519181905660087,-0.076096124869286
91,JAKE WILEY,GRA,19,19.0,15.8,7.0,11.9,0.588,0.0,0.4,0.0,1.8,2.7,0.667,3.0,4.0,7.0,2.0,1.7,1.1,2.5,4.9,60,GRA,0.604,0.588,125.5,10.3,15.0,12.5,11.2,16.0,2.5,3.2,20.3,-3.2,1.3,111.7,110.1,1.6,117.1,17.2,360.9,F,GRA,FORCA LLEIDA CE,FORCA LLEIDA CE,941,585,2172,0.009564293304994687,0.8,0.6799999999999999,0.15126050420168066,941.688,1982.5010526315791,16.8,15.088000000000001,0.6427266135484793,9.707931211418995,0.06620634196423533
92,BOUBACAR TOURE,BRE,13,12.1,15.7,5.9,10.0,0.591,0.0,0.0,0.0,3.9,6.8,0.567,3.4,5.7,9.1,1.1,0.7,1.8,2.7,5.9,91,BRE,0.603,0.591,115.8,11.3,19.0,15.2,5.9,17.3,1.0,5.8,20.3,-5.4,1.6,109.9,115.1,-5.2,49.5,15.4,157.8,C,BRE,DREAMLAND GRAN CANARIA,DREAMLAND GRAN CANARIA,1074,614,2233,0.006517690875232775,0.40740740740740744,0.25925925925925924,0.39,1076.292,3557.990082644628,16.25,14.092,1.1593122639266422,17.422801832753404,0.06653994432441013
93,A.J. SLAUGHTER,ZAR,32,18.2,15.7,5.9,15.1,0.391,3.2,9.2,0.345,0.8,1.0,0.813,0.6,1.8,2.4,2.9,0.7,0.0,1.9,2.5,208,ZAR,0.508,0.496,154.8,1.9,6.4,4.1,12.9,10.7,1.0,0.0,21.5,0.2,1.0,106.9,123.1,-16.2,104.0,9.5,581.1,G,ZAR,CASADEMONT ZARAGOZA,CASADEMONT ZARAGOZA,1094,635,2299,0.008043875685557587,1.5263157894736843,0.3684210526315789,0.05298013245033113,1095.7400000000002,2408.2197802197807,17.15,18.439999999999998,-2.5968266997724,11.792594983654134,-0.22020824961527932
94,RUBEN DOMINGUEZ,BBB,29,13.7,15.7,5.0,13.7,0.362,3.5,8.8,0.402,2.3,2.6,0.862,1.0,2.9,3.9,1.3,0.9,0.2,0.7,2.5,167,BBB,0.528,0.49,162.6,3.4,10.4,6.8,6.3,4.6,1.4,0.5,20.8,0.3,1.1,111.6,117.5,-5.9,88.1,12.3,398.5,SG,BBB,BILBAO BASKET,BILBAO BASKET,958,562,2202,0.006576200417536534,1.8571428571428574,1.2857142857142858,0.1678832116788321,958.844,2799.544525547445,16.349999999999998,16.144,-0.9381111844428247,13.708837955593179,-0.06843112359206764
95,YUNIO BARRUETA,LBC,34,25.9,15.7,5.4,13.9,0.387,3.7,10.7,0.346,1.2,2.0,0.612,1.1,3.4,4.5,0.7,0.9,0.1,0.8,2.8,194,LBC,0.531,0.521,134.5,3.8,11.8,7.7,3.4,5.0,1.3,0.3,19.8,-0.8,1.1,108.3,127.4,-19.0,187.6,10.8,882.1,G,LBC,CB CORUNA,CB CORUNA,1036,695,2234,0.005888030888030888,0.8749999999999999,1.125,0.08633093525179855,1036.5800000000002,1600.8957528957533,16.05,15.48,-0.5270540841907163,7.83928251898535,-0.06723243905475851
96,GIAN CLAVELL,GRA,20,22.0,15.7,5.0,14.5,0.345,2.1,7.9,0.271,3.6,4.6,0.786,0.7,2.8,3.4,3.3,1.4,0.1,2.4,4.1,205,GRA,0.476,0.418,140.1,2.3,10.5,6.2,16.3,12.6,2.0,0.2,24.7,-0.5,1.1,96.9,115.3,-18.4,75.8,9.9,439.9,G,GRA,FORCA LLEIDA CE,FORCA LLEIDA CE,941,585,2172,0.008820403825717324,1.375,0.5833333333333334,0.2482758620689655,944.7239999999999,1717.68,17.349999999999998,19.824,-3.8789095713822235,8.411152801707502,-0.46116265663308215
97,MARVIN JONES,BBB,32,19.3,15.6,5.8,11.7,0.5,0.5,1.0,0.471,3.5,5.0,0.706,2.1,4.4,6.5,1.0,0.7,1.0,1.7,3.2,108,BBB,0.564,0.52,167.6,7.2,15.7,11.4,5.2,11.2,1.1,2.9,20.8,-3.1,1.3,110.2,114.3,-4.1,167.6,14.5,617.5,FC,BBB,BILBAO BASKET,BILBAO BASKET,958,562,2202,0.007098121085594989,0.5882352941176471,0.4117647058823529,0.29914529914529914,959.8000000000001,1989.2227979274612,16.1,14.899999999999999,0.14405000940299573,9.740846321787528,0.014788243715620117
98,HARALD FREY,BBB,34,19.6,15.6,4.6,11.0,0.422,2.5,7.3,0.338,3.8,4.3,0.899,0.7,2.7,3.4,6.1,1.4,0.1,2.1,4.4,76,BBB,0.605,0.534,165.9,2.4,9.7,6.0,29.9,14.0,2.1,0.2,20.0,5.5,1.4,123.3,115.5,7.8,214.9,16.4,666.4,PG,BBB,BILBAO BASKET,BILBAO BASKET,958,562,2202,0.011169102296450939,2.9047619047619047,0.6666666666666666,0.34545454545454546,961.292,1961.8204081632653,18.65,18.991999999999997,-1.687946457813311,9.606662022361212,-0.17570582309279914
99,GEORGE CONDITT IV,GCN,36,17.0,15.6,6.5,9.4,0.688,0.1,0.2,0.333,2.6,4.2,0.611,3.0,5.6,8.6,2.4,1.4,1.7,1.9,4.1,14,GCN,0.691,0.691,163.2,11.1,20.4,15.8,11.9,14.7,2.2,5.4,17.9,-1.0,1.7,130.1,111.8,18.3,266.3,21.5,612.2,PF,GCN,DREAMLAND GRAN CANARIA,DREAMLAND GRAN CANARIA,1074,614,2233,0.008286778398510242,1.263157894736842,0.7368421052631579,0.2765957446808511,1074.748,2528.818823529412,16.8,13.648000000000001,2.1847781562638957,12.38314559902897,0.17643159718926477
100,GORAN HUSKIC,LBC,31,17.0,15.5,6.0,11.5,0.521,0.3,1.2,0.222,3.2,4.2,0.758,3.1,7.6,10.7,5.9,0.9,0.5,2.8,4.4,42,LBC,0.578,0.533,150.1,10.6,26.4,18.3,28.0,17.3,1.3,1.6,20.6,3.0,1.3,117.9,121.8,-3.9,239.3,18.2,527.5,C,LBC,CB CORUNA,CB CORUNA,1036,695,2234,0.011486486486486487,2.107142857142857,0.32142857142857145,0.2782608695652174,1037.548,2441.289411764706,18.45,19.248,-2.1620889542960526,11.954530689967612,-0.1808593754425261
101,ORIOL PAULI,FOR,33,23.4,15.5,5.5,11.9,0.463,1.8,5.1,0.349,2.7,3.7,0.725,1.0,4.5,5.5,4.2,1.3,0.2,3.1,2.0,129,FOR,0.572,0.537,153.6,3.2,15.8,9.3,22.2,18.8,1.9,0.6,21.1,-0.8,1.3,106.1,114.6,-8.5,238.3,13.7,771.7,GF,FOR,RIO BREOGAN,RIO BREOGAN,945,551,2145,0.010264550264550264,1.3548387096774195,0.41935483870967744,0.226890756302521,948.7280000000001,1621.757264957265,17.6,17.728,-1.3843678814297817,7.941437382303337,-0.17432207984346773
