#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
76,JAMAR SMITH,REG,27,20.1,10.0,3.7,8.5,0.441,1.5,4.9,0.313,1.0,1.2,0.848,0.4,1.5,1.9,2.3,0.5,0.0,1.0,1.9,77,0.556,0.531,160.3,2.2,8.9,5.6,21.2,10.3,1.4,0.2,23.4,2.6,1.2,116.1,111.1,4.9,152.6,15.5,544.0,SG,157,0,0,0,0,0,1,0,21,0,0.206,2.3,0.5,0.1,15,12,0.556,0.9,0.9,1.8,GRISSIN BON REGGIO EMILIA
77,MICHAL SOKOLOWSKI,SAS,12,25.7,9.8,3.4,7.1,0.482,1.4,4.0,0.354,1.6,1.9,0.826,0.5,2.0,2.5,1.3,0.5,0.0,0.9,2.7,129,0.62,0.582,166.3,2.4,10.7,6.3,8.9,10.4,1.1,0.0,16.5,-0.1,1.4,118.0,121.4,-3.4,64.6,12.0,308.0,SG,130,0,0,0,0,0,0,0,30,0,0.165,1.5,0.5,0.3,2,10,0.167,0.4,0.1,0.5,BANCO DI SARDEGNA SASSARI
78,PAULIUS SOROKAS,SCAF,30,28.0,9.8,3.0,6.4,0.466,0.6,2.3,0.246,3.3,4.0,0.825,1.7,4.3,5.9,1.4,0.5,0.2,0.8,2.8,91,0.603,0.51,153.7,7.2,20.4,13.5,8.6,9.0,1.0,0.8,15.1,0.6,1.5,127.9,121.7,6.2,250.8,14.8,841.0,SF,56,1,0,0,0,0,0,0,22,0,0.153,1.8,0.6,0.6,6,24,0.2,2.0,0.1,2.2,GIVOVA SCAFATI
79,ISAIA CORDINIER,BOL,41,23.1,9.6,3.2,6.8,0.477,0.9,2.4,0.354,2.2,2.8,0.793,0.4,2.3,2.7,3.5,1.0,0.2,1.6,2.8,69,0.595,0.539,162.3,2.2,12.5,7.7,25.8,16.2,2.4,0.9,20.5,3.6,1.4,117.3,108.3,9.0,296.5,15.8,946.0,G,91,0,0,0,0,0,0,0,23,0,0.23,2.3,0.6,0.4,32,9,0.78,1.7,1.9,3.6,VIRTUS BOLOGNA
80,SEMAJ CHRISTON,CRE,11,22.1,9.5,3.5,8.5,0.415,0.4,1.4,0.267,2.1,2.6,0.793,0.3,0.5,0.8,3.5,0.5,0.0,1.8,2.6,152,0.492,0.436,147.5,1.6,3.0,2.3,26.7,15.8,1.3,0.0,25.7,2.5,1.1,101.3,126.7,-25.4,41.6,10.2,243.0,PG,63,0,0,0,0,0,0,0,18,0,0.23,2.0,0.3,0.3,4,7,0.364,-0.2,-0.1,-0.3,VANOLI CREMONA
81,BRUNO MASCOLO,TREV,30,28.6,9.4,3.7,9.5,0.388,0.5,2.3,0.217,1.5,2.6,0.59,0.8,2.5,3.3,4.7,0.8,0.0,1.7,1.8,149,0.442,0.414,119.5,3.3,11.0,7.1,26.6,14.0,1.4,0.1,19.9,4.8,1.0,100.6,117.6,-16.9,205.8,10.4,858.0,PG,153,0,0,0,0,0,0,0,23,0,0.28,2.7,0.4,0.3,12,18,0.4,-0.5,0.6,0.1,UNIVERSO DE'LONGHI TREVISO
82,PAULY PAULICAP,TREV,29,25.7,9.4,3.7,6.2,0.589,0.0,0.0,0.0,2.1,3.0,0.693,2.6,4.4,7.0,0.2,0.4,1.1,1.5,2.5,67,0.624,0.589,128.2,12.0,21.0,16.5,1.6,16.7,0.9,4.7,16.1,-5.2,1.5,116.4,112.8,3.5,247.5,15.8,745.0,F,9,4,0,0,0,0,0,0,18,0,0.131,0.2,0.3,0.5,12,17,0.414,1.0,1.0,2.0,UNIVERSO DE'LONGHI TREVISO
83,ALESSANDRO CAPPELLETTI,SAS,30,22.4,9.4,3.3,7.1,0.458,0.9,2.8,0.337,1.9,2.3,0.838,0.4,3.0,3.4,3.8,1.0,0.1,2.0,1.9,66,0.576,0.523,163.4,2.3,18.1,9.9,29.1,20.0,2.4,0.5,22.0,2.2,1.3,108.5,112.9,-4.3,231.5,15.8,672.0,PG,113,0,0,0,0,0,0,0,27,0,0.243,1.9,0.5,0.3,12,18,0.4,0.4,0.9,1.3,BANCO DI SARDEGNA SASSARI
84,JUSTIN GORHAM,TORT,26,21.9,9.3,3.4,6.8,0.494,1.0,2.8,0.351,1.6,1.7,0.932,1.3,3.8,5.2,1.7,0.3,0.1,1.5,2.3,81,0.616,0.567,177.8,7.1,22.4,14.3,13.2,16.1,0.8,0.5,18.7,-1.4,1.4,118.8,116.2,2.6,189.8,15.4,570.0,PF,46,1,0,0,0,0,0,0,35,0,0.169,1.2,0.2,0.2,12,14,0.462,1.0,0.5,1.6,BERTRAM TORTONA
85,JORDAN CAROLINE,TREV,13,22.9,9.3,3.1,7.7,0.4,1.0,2.6,0.382,2.2,3.3,0.651,2.2,3.4,5.5,1.2,0.7,0.2,0.9,1.7,92,0.509,0.465,143.4,11.2,17.4,14.3,9.5,9.2,1.6,0.7,20.0,-0.4,1.2,110.8,114.7,-3.9,94.9,14.8,298.0,F,173,0,0,0,0,0,0,0,20,0,0.152,1.3,0.8,0.4,3,10,0.231,0.2,0.3,0.6,UNIVERSO DE'LONGHI TREVISO
