#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
82,KYLER EDWARDS,DIJ,8,25.4,8.9,2.6,7.6,0.344,1.5,5.0,0.3,2.1,2.6,0.81,0.8,2.1,2.9,1.4,1.0,0.4,0.5,2.5,135,0.505,0.443,145.4,3.7,10.9,7.2,8.8,5.4,2.1,1.6,17.7,1.6,1.2,109.2,118.7,-9.5,44.1,11.9,203.0,G,75,0,0,0,0,0,0,0,15,0,0.137,2.8,2.0,0.3,2,6,0.25,0.2,0.0,0.2,JDA DIJON BASKET
83,CLEVELAND MELVIN,CHO,32,23.1,8.8,3.4,7.6,0.455,1.8,4.9,0.363,0.2,0.4,0.357,0.8,2.6,3.4,0.8,0.3,0.4,0.6,1.8,129,0.568,0.572,117.5,4.7,14.1,9.4,5.8,7.1,0.8,1.9,16.6,-0.2,1.2,115.7,111.9,3.8,185.3,12.2,738.0,PF,126,0,0,0,0,0,0,0,21,0,0.14,1.4,0.6,0.1,21,11,0.656,0.9,1.0,1.9,CHOLET BASKET
84,JOSHIKO SAIBOU,ULR,20,18.1,8.8,3.0,7.7,0.392,1.1,3.7,0.301,1.7,2.2,0.767,0.5,1.4,1.9,1.6,0.6,0.2,1.4,1.9,147,0.509,0.464,146.1,3.4,9.8,6.5,18.4,14.0,1.8,0.9,27.5,-2.0,1.1,93.1,114.1,-21.0,74.1,10.9,361.0,G,161,0,0,0,0,0,0,0,15,0,0.179,1.1,0.4,0.3,3,17,0.15,-0.7,0.4,-0.3,UNION LA ROCHELLE
85,ISAIAH WASHINGTON,NAN,29,18.9,8.7,3.1,7.0,0.438,1.2,3.7,0.33,1.4,1.6,0.851,0.4,1.5,2.0,2.9,0.4,0.1,1.6,1.2,90,0.566,0.525,162.0,3.0,9.8,6.4,25.5,17.1,1.3,0.6,23.2,1.9,1.2,109.7,120.8,-11.1,166.6,14.8,547.0,PG,116,0,0,0,0,0,0,0,25,0,0.194,1.8,0.3,0.2,13,16,0.448,0.5,0.1,0.6,NANCY BASKET
86,T.J. CAMPBELL,CHO,29,21.5,8.7,2.6,5.9,0.442,1.1,3.0,0.364,2.3,2.5,0.932,0.3,1.1,1.5,4.1,0.6,0.0,1.6,2.1,83,0.617,0.535,173.7,2.1,6.8,4.4,30.7,18.1,1.5,0.0,18.3,5.5,1.5,124.5,114.9,9.7,191.9,15.1,623.0,G,129,0,0,0,0,0,0,0,18,0,0.225,2.7,0.4,0.4,18,11,0.621,1.7,0.6,2.3,CHOLET BASKET
87,WILFRIED YEGUETE,LEM,33,22.7,8.6,3.5,6.8,0.522,0.0,0.2,0.167,1.5,2.9,0.516,2.7,4.3,7.0,2.6,1.2,0.0,1.7,2.7,40,0.534,0.525,120.5,15.0,24.5,19.7,18.9,17.4,2.8,0.2,19.5,0.3,1.3,112.9,108.9,3.9,303.1,18.1,749.0,F,11,2,0,0,0,0,0,0,18,0,0.2,1.6,0.7,0.4,19,14,0.576,0.9,1.4,2.3,LE MANS SARTHE BASKET
88,CHRIS-EBOU NDOW,CHO,23,22.5,8.6,3.2,6.1,0.521,0.9,2.9,0.318,1.3,1.9,0.682,1.8,3.6,5.4,0.8,1.0,0.1,0.9,2.4,69,0.618,0.596,152.1,10.3,20.7,15.5,5.6,11.2,2.5,0.7,16.0,-1.5,1.4,122.6,105.8,16.8,175.8,16.2,517.0,F,16,2,0,0,0,0,0,0,17,0,0.129,0.9,1.2,0.3,16,7,0.696,1.0,1.2,2.2,CHOLET BASKET
89,ILIAS KAMARDINE,DIJ,34,18.9,8.6,2.9,6.8,0.427,1.3,3.6,0.361,1.4,1.8,0.817,0.3,1.5,1.7,2.1,0.7,0.2,0.9,2.1,93,0.563,0.522,160.4,1.9,10.0,6.0,18.8,10.1,2.1,1.3,21.7,2.8,1.3,111.5,115.5,-4.0,180.0,14.7,643.8,G,92,0,0,0,0,0,0,0,18,0,0.169,2.4,0.9,0.3,17,17,0.5,0.7,0.6,1.3,JDA DIJON BASKET
90,TAI WEBSTER,JLB,13,18.8,8.5,3.2,5.7,0.554,0.6,1.5,0.421,1.6,2.7,0.6,0.5,1.7,2.2,3.5,0.6,0.0,1.2,2.3,38,0.621,0.608,157.5,3.6,11.7,7.6,27.6,14.4,1.8,0.0,19.5,6.0,1.5,125.5,120.0,5.5,88.9,18.2,245.0,G,95,0,0,0,0,0,0,0,20,0,0.198,3.0,0.5,0.5,5,8,0.385,0.7,0.1,0.8,JL BOURG-EN-BRESSE
91,MAODO LO,PAR,29,17.2,8.5,3.0,6.6,0.448,1.5,3.9,0.393,1.0,1.4,0.732,0.2,1.1,1.3,3.0,0.6,0.0,1.7,2.0,92,0.586,0.563,157.2,1.8,8.3,5.0,27.5,19.2,1.8,0.0,23.4,1.6,1.3,113.9,115.0,-1.0,142.6,14.8,499.9,PG,171,0,0,0,0,0,0,0,21,0,0.185,1.7,0.3,0.2,21,8,0.724,0.8,0.5,1.3,PARIS BASKETBALL
92,CLIFTON MOORE,ULR,27,18.8,8.4,3.5,5.5,0.642,0.3,0.7,0.35,1.1,1.6,0.682,1.2,2.0,3.3,0.5,0.1,0.5,0.9,1.6,53,0.678,0.666,167.4,8.6,14.3,11.5,6.0,13.0,0.4,3.2,19.7,-3.3,1.5,116.3,116.3,-0.1,157.8,17.1,507.0,PF,186,0,0,0,0,0,0,0,18,0,0.158,0.5,0.2,0.3,4,23,0.148,0.8,0.4,1.2,UNION LA ROCHELLE
93,JAMUNI MCNEACE,CHO,26,17.2,8.4,3.8,5.5,0.685,0.0,0.0,0.0,0.8,2.0,0.431,1.7,2.5,4.2,0.7,0.8,0.6,1.0,3.2,21,0.659,0.685,111.7,12.4,18.5,15.5,7.0,14.0,2.5,4.1,19.8,-3.4,1.5,118.7,103.9,14.8,168.6,20.0,447.0,C,139,0,0,0,0,0,0,0,19,0,0.145,0.6,0.8,0.4,17,9,0.654,0.8,1.1,2.0,CHOLET BASKET
94,HUNTER CATTOOR,GRV,24,23.2,8.4,2.5,6.4,0.383,2.0,5.3,0.367,1.5,1.6,0.947,0.3,1.0,1.4,1.1,0.5,0.0,1.0,2.3,165,0.589,0.536,169.8,1.9,5.7,3.8,8.5,12.3,1.2,0.2,17.0,-1.2,1.3,111.5,117.9,-6.4,86.0,9.8,556.8,PG,154,0,0,0,0,0,0,0,18,0,0.133,1.1,0.5,0.2,10,14,0.417,0.5,0.3,0.8,BCM GRAVELINES
95,HUGO BENITEZ,JLB,33,21.3,8.4,3.2,6.6,0.491,0.6,1.8,0.311,1.3,1.5,0.86,0.7,1.6,2.2,5.1,1.1,0.1,1.4,2.3,39,0.575,0.534,166.2,4.0,9.5,6.8,38.6,16.1,2.7,0.3,18.7,9.1,1.3,124.1,113.3,10.9,275.3,18.2,702.8,G,82,0,0,0,0,0,0,0,17,0,0.269,3.6,0.8,0.2,20,13,0.606,2.0,0.9,2.9,JL BOURG-EN-BRESSE
96,LEOPOLD DELAUNAY,LEM,32,20.8,8.3,3.0,6.5,0.459,0.7,2.1,0.328,1.7,2.0,0.841,1.3,3.4,4.7,3.4,0.8,0.0,1.7,2.3,54,0.564,0.512,162.9,8.1,20.9,14.4,25.8,18.3,2.0,0.0,19.8,2.8,1.3,118.0,111.3,6.7,254.1,17.1,664.0,SG,27,1,0,0,0,0,0,0,22,0,0.205,2.0,0.5,0.3,19,13,0.594,1.3,1.0,2.3,LE MANS SARTHE BASKET
97,AARON WHEELER,CHO,26,18.3,8.2,3.0,5.7,0.52,1.0,2.8,0.365,1.2,1.8,0.646,1.0,2.5,3.5,1.0,0.3,0.4,1.4,2.2,105,0.627,0.611,153.1,6.5,17.5,12.0,9.0,17.6,0.9,2.7,19.5,-4.0,1.4,111.3,111.8,-0.5,136.5,14.1,476.0,SF,189,0,0,0,0,0,0,0,15,0,0.132,0.7,0.2,0.3,16,10,0.615,0.4,0.7,1.1,CHOLET BASKET
98,GIORGI BEZHANISHVILI,GRV,19,20.6,8.1,3.3,5.8,0.573,0.2,0.6,0.25,1.3,2.2,0.595,1.1,2.8,3.9,0.9,0.5,0.2,1.4,2.4,110,0.599,0.586,141.8,6.7,18.1,12.4,9.0,17.4,1.4,1.2,19.7,-4.1,1.4,105.2,111.2,-6.0,97.8,13.6,391.6,PF,172,0,0,0,0,0,0,0,14,0,0.163,0.6,0.4,0.4,7,12,0.368,0.1,0.6,0.6,BCM GRAVELINES
99,MICHAEL STOCKTON,CHA,27,24.4,8.0,2.7,6.3,0.427,1.0,2.9,0.359,1.6,2.0,0.796,0.6,2.3,2.9,5.4,1.3,0.0,2.1,2.9,107,0.557,0.509,158.2,3.0,11.8,7.6,33.8,22.6,2.8,0.0,17.8,6.0,1.3,114.2,112.7,1.5,215.3,14.1,659.0,G,192,0,0,0,0,0,0,0,15,0,0.265,2.6,0.6,0.3,16,11,0.593,0.9,0.9,1.8,CHALON-SUR-SAONE
100,MBAYE N'DIAYE,LYV,10,19.9,8.0,3.0,5.1,0.588,0.8,2.3,0.348,1.2,1.8,0.667,0.6,3.6,4.2,1.3,0.6,0.8,1.2,2.3,55,0.679,0.667,160.3,4.5,20.7,13.6,11.3,16.9,1.7,4.3,17.1,-1.7,1.6,118.0,103.8,14.1,71.5,17.1,199.0,F,105,0,0,0,0,0,0,0,14,0,0.147,1.1,0.5,0.4,8,2,0.8,0.4,0.4,0.8,ASVEL BASKET
