#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
58,TYRON BREWER,BC,37,28.9,11.0,3.8,7.8,0.483,1.6,3.9,0.406,1.9,2.6,0.735,1.4,3.6,5.0,0.9,1.5,0.6,1.2,3.1,72,0.616,0.583,162.3,6.5,16.6,11.6,5.1,12.0,2.8,2.2,17.0,-2.2,1.4,118.5,113.0,5.5,312.5,15.8,1069.2,SG,110,0,0,0,0,0,0,0,26,0,0.159,0.7,1.2,0.3,18,19,0.486,2.1,0.8,3.0,MITTELDEUTSCHER BC
59,JEQUAN LEWIS,ROST,17,23.5,10.9,3.3,8.2,0.4,1.8,5.0,0.353,2.6,3.5,0.733,0.3,1.6,1.9,4.3,1.0,0.1,2.8,2.9,110,0.559,0.507,148.6,1.5,8.1,4.8,33.5,22.4,2.2,0.3,24.9,0.2,1.3,104.1,110.4,-6.4,102.3,14.0,398.8,G,147,0,0,0,0,0,0,0,23,0,0.269,1.5,0.4,0.4,9,8,0.529,0.2,0.5,0.7,ROSTOCK SEAWOLVES
60,JUSTIN SIMON,LUD,32,32.9,10.9,4.0,12.5,0.318,0.9,4.7,0.2,2.0,3.3,0.598,1.2,5.4,6.6,4.3,2.3,0.7,1.8,2.3,126,0.39,0.356,111.6,3.7,22.4,11.8,23.8,11.7,3.7,2.7,21.4,3.2,0.9,91.6,95.3,-3.8,311.9,13.1,1052.3,PG,13,3,0,0,0,0,2,0,30,0,0.307,2.3,1.2,0.3,16,16,0.5,-1.5,3.4,1.9,MHP RIESEN LUDWIGSBURG
61,MARTIN BREUNIG,BC,19,23.7,10.8,4.2,6.2,0.675,0.3,0.5,0.6,2.2,3.2,0.672,2.0,2.8,4.8,1.8,0.9,0.2,1.7,3.4,19,0.713,0.701,194.7,11.4,15.7,13.6,13.6,18.7,2.1,0.8,18.8,-2.3,1.8,126.6,114.1,12.5,161.9,20.0,450.0,PF,137,0,0,0,0,0,0,0,17,0,0.202,1.0,0.5,0.5,9,10,0.474,1.6,0.2,1.9,MITTELDEUTSCHER BC
62,ALAGIE BARRA NJIE,BLB,37,24.2,10.6,4.0,8.9,0.452,0.4,1.7,0.25,2.1,3.4,0.632,1.2,1.9,3.1,4.0,0.9,0.1,2.2,2.2,96,0.51,0.476,133.4,6.0,9.2,7.6,29.5,17.2,1.9,0.5,23.7,2.0,1.2,105.4,111.0,-5.5,256.9,14.9,896.6,PG,210,0,0,0,0,0,0,0,21,0,0.276,1.8,0.4,0.4,22,15,0.595,0.7,1.0,1.7,BASKETBALL LOWEN BRAUNSCHWEIG
63,THOMAS KENNEDY,TBB,32,24.1,10.6,4.5,7.2,0.63,0.0,0.0,0.0,1.5,2.8,0.527,2.1,5.0,7.1,1.7,0.8,0.4,1.4,2.7,20,0.626,0.63,115.8,10.2,24.5,17.3,13.1,14.3,1.8,1.8,18.4,-1.2,1.5,120.6,106.9,13.7,325.4,19.9,770.4,PF,2,9,0,0,0,0,0,0,19,0,0.215,1.2,0.6,0.4,14,18,0.438,2.0,1.3,3.3,TELEKOM BASKETS BONN
64,BOOKER COPLIN,FRA,14,26.7,10.4,4.2,9.2,0.457,1.4,3.7,0.365,0.6,1.1,0.5,0.9,2.6,3.6,2.6,1.7,0.1,2.9,2.1,131,0.533,0.531,132.3,4.9,13.8,9.4,17.6,22.7,3.5,0.3,22.9,-4.3,1.1,94.4,111.3,-16.9,89.0,12.7,374.2,G,153,0,0,0,0,0,0,0,16,0,0.239,0.9,0.6,0.1,3,11,0.214,-0.4,0.3,0.0,FRAPORT SKYLINERS
65,CHARLES CALLISON,BC,37,28.3,10.3,3.8,9.8,0.392,1.5,4.6,0.331,1.1,1.3,0.854,0.3,2.1,2.4,5.2,0.8,0.1,2.0,2.5,145,0.499,0.471,157.8,1.6,9.8,5.7,30.7,16.2,1.6,0.2,21.1,5.2,1.1,106.6,118.9,-12.3,264.8,12.3,1046.1,G,16,3,0,0,0,0,0,0,29,0,0.307,2.6,0.4,0.1,18,19,0.486,0.9,-0.1,0.9,MITTELDEUTSCHER BC
66,YANNI WETZELL,BER,34,18.9,10.3,3.9,6.7,0.581,0.2,0.7,0.24,2.3,3.6,0.648,1.5,3.1,4.6,1.3,0.5,0.2,1.5,2.4,24,0.621,0.594,146.8,10.3,20.7,15.6,12.4,15.0,1.5,1.5,23.6,-3.3,1.5,117.2,105.0,12.2,241.5,19.8,642.0,F,55,1,0,0,0,0,0,0,29,0,0.172,0.9,0.4,0.5,18,16,0.529,1.7,1.2,2.9,ALBA BERLIN
67,JAYDEN GARDNER,RAS,31,25.9,10.3,4.0,9.2,0.43,0.9,3.0,0.309,1.5,2.6,0.556,2.0,5.2,7.2,0.9,0.6,0.1,1.9,2.2,135,0.497,0.481,129.4,9.1,23.3,16.2,6.5,15.7,1.2,0.5,21.9,-5.2,1.1,97.0,107.3,-10.3,213.6,12.5,803.5,PF,10,4,0,0,0,0,0,0,25,0,0.178,0.5,0.3,0.3,16,15,0.516,-0.5,1.3,0.8,SC RASTA VECHTA
68,MARTIN HERMANNSSON,BER,32,21.7,10.2,3.3,8.0,0.416,0.8,2.9,0.287,2.7,3.3,0.804,0.1,1.3,1.5,5.3,0.7,0.1,1.9,1.9,55,0.538,0.469,150.7,0.7,7.8,4.3,41.8,16.9,1.7,0.3,24.0,7.4,1.3,115.2,108.7,6.5,233.9,16.6,694.3,G,31,2,0,0,0,0,0,0,28,0,0.291,2.8,0.4,0.4,17,15,0.531,1.8,1.0,2.7,ALBA BERLIN
69,PEDRO BRADSHAW,ROST,14,24.9,10.2,3.3,6.4,0.517,1.4,2.9,0.463,2.3,2.8,0.821,1.0,3.9,4.9,1.3,0.7,0.3,1.1,1.6,41,0.674,0.624,180.1,4.8,18.4,11.6,9.4,12.4,1.5,1.3,16.0,-0.9,1.6,129.8,107.0,22.9,121.6,17.7,349.1,G,39,1,0,0,0,0,0,0,16,0,0.165,1.2,0.7,0.4,6,8,0.429,1.1,0.6,1.7,ROSTOCK SEAWOLVES
70,LUKA SCUKA,BLB,33,22.3,10.2,3.3,7.5,0.444,1.3,3.8,0.344,2.2,3.0,0.73,1.4,4.2,5.6,0.8,0.7,1.3,1.4,2.8,43,0.575,0.53,151.8,7.7,22.3,15.1,6.8,13.4,1.7,5.9,21.0,-3.6,1.4,112.1,104.0,8.0,263.5,17.7,734.8,PF,47,1,0,0,0,0,0,0,26,0,0.146,0.6,0.5,0.4,19,14,0.576,1.2,1.5,2.7,BASKETBALL LOWEN BRAUNSCHWEIG
71,SHABAZZ NAPIER,BAY,35,20.8,10.1,2.9,6.7,0.429,1.9,4.8,0.385,2.5,2.9,0.881,0.2,1.9,2.1,2.7,1.3,0.1,1.9,2.1,37,0.638,0.569,169.5,1.3,11.4,6.5,23.8,19.2,3.5,0.5,22.5,-0.4,1.5,116.4,100.2,16.2,239.1,17.9,729.0,PG,181,0,0,0,0,0,1,0,21,0,0.202,1.4,0.7,0.4,28,7,0.8,1.8,1.9,3.7,BAYERN MUNICH
72,KEYSHAWN FEAZELL,BRO,27,21.4,10.1,3.6,7.1,0.508,0.5,2.2,0.237,2.4,3.1,0.774,1.1,4.0,5.2,0.9,0.7,0.5,1.3,3.1,48,0.599,0.545,151.9,6.4,22.5,14.4,7.0,13.3,1.8,2.5,20.9,-3.4,1.4,113.9,109.8,4.1,188.5,17.2,577.3,PF,127,0,0,0,0,0,0,0,19,0,0.149,0.7,0.5,0.4,10,17,0.37,1.1,0.7,1.8,BROSE BASKETS BAMBERG
73,HUNTER MALDONADO,LUD,30,23.4,10.0,3.5,7.8,0.444,1.1,3.8,0.278,2.0,3.2,0.625,1.0,3.1,4.1,1.8,1.3,0.1,1.5,2.6,81,0.543,0.513,134.8,4.6,18.1,10.5,14.3,14.3,2.9,0.6,20.4,-1.5,1.3,107.2,99.3,7.9,197.8,15.5,702.8,SF,103,0,0,0,0,0,1,0,24,0,0.193,1.2,0.8,0.4,16,14,0.533,0.6,1.9,2.6,MHP RIESEN LUDWIGSBURG
74,NOA ESSENGUE,RUL,41,22.4,10.0,3.1,6.2,0.496,0.6,2.2,0.261,3.2,4.6,0.695,1.5,3.3,4.9,1.2,0.7,0.5,1.1,2.7,40,0.604,0.543,145.2,8.7,18.5,13.7,8.8,11.9,1.6,2.7,19.2,-1.4,1.6,122.6,105.0,17.7,309.5,17.7,916.7,F,43,1,0,0,0,0,0,0,22,0,0.144,1.1,0.6,0.7,29,12,0.707,2.7,1.7,4.4,RATIOPHARM ULM
75,ALFONSO PLUMMER,RUL,43,16.6,10.0,3.1,7.2,0.435,1.9,5.0,0.388,1.8,2.1,0.865,0.4,0.8,1.2,1.0,0.4,0.0,1.3,1.6,53,0.616,0.57,168.8,3.2,5.9,4.5,11.4,13.7,1.4,0.0,25.8,-3.6,1.4,115.9,110.1,5.8,181.6,16.7,712.1,G,121,0,0,0,0,0,0,0,29,0,0.141,0.8,0.3,0.3,30,13,0.698,1.8,0.8,2.7,RATIOPHARM ULM
76,OLIVIER NKAMHOUA,BVC,36,20.3,9.9,3.7,8.1,0.455,0.9,2.8,0.313,1.7,2.3,0.738,1.3,3.4,4.7,0.9,0.7,0.9,2.0,2.3,84,0.546,0.509,150.6,8.1,20.1,14.2,8.2,18.0,1.7,4.5,25.3,-6.9,1.2,98.8,108.0,-9.2,219.8,15.4,730.6,F,56,1,0,0,0,0,0,0,21,0,0.158,0.4,0.3,0.3,19,17,0.528,-0.3,1.1,0.8,BV CHEMNITZ 99
77,SAM GRIESEL,TBB,30,23.3,9.8,3.1,7.7,0.405,1.0,3.2,0.302,2.6,3.3,0.78,1.3,2.5,3.8,1.6,0.7,0.2,1.1,2.0,102,0.534,0.468,148.7,6.3,12.8,9.5,11.8,11.0,1.7,0.8,19.9,-0.3,1.3,113.2,111.3,1.9,191.0,14.5,699.4,GF,215,0,0,0,0,0,0,0,21,0,0.165,1.4,0.6,0.4,13,17,0.433,1.2,0.7,1.9,TELEKOM BASKETS BONN
78,BAKARY DIBBA,MLP,33,26.5,9.8,3.5,6.8,0.518,0.7,2.7,0.256,2.1,3.2,0.657,1.1,3.2,4.3,1.2,1.3,1.0,1.5,3.6,93,0.6,0.569,143.1,5.2,15.2,10.2,7.5,15.9,2.7,4.5,17.2,-2.9,1.4,110.7,107.3,3.4,236.9,14.9,875.6,F,50,1,0,0,0,0,1,0,20,0,0.163,0.7,0.9,0.5,18,15,0.545,1.0,1.4,2.4,MLP ACADEMICS HEIDELBERG
79,COLLIN WELP,GOE,32,20.9,9.8,3.5,7.6,0.459,1.6,4.0,0.395,1.2,1.4,0.804,1.2,2.7,3.9,0.8,0.9,0.1,1.0,2.4,76,0.59,0.564,165.9,6.2,16.2,11.0,7.2,11.1,2.1,0.6,19.7,-2.3,1.3,113.1,119.2,-6.1,200.0,15.7,669.3,PF,144,0,0,0,0,0,0,0,25,0,0.156,0.8,0.8,0.2,3,29,0.094,1.1,-0.1,1.0,BG GOETTINGEN
80,TRE MITCHELL,BLB,36,23.3,9.7,3.3,7.4,0.44,1.0,3.1,0.336,2.1,2.5,0.844,1.1,3.4,4.6,0.9,0.7,0.8,1.2,2.8,92,0.567,0.509,162.1,6.0,17.5,11.8,6.6,12.3,1.6,3.3,19.1,-2.6,1.3,113.3,107.1,6.2,239.0,15.0,839.5,PF,42,1,0,0,0,0,0,0,20,0,0.144,0.7,0.6,0.3,21,15,0.583,1.3,1.4,2.7,BASKETBALL LOWEN BRAUNSCHWEIG
81,ANGELO ALLEGRI,TBB,10,20.4,9.6,3.2,7.0,0.457,1.7,4.3,0.395,1.5,1.7,0.882,1.1,2.7,3.8,0.9,1.4,0.1,1.7,2.0,44,0.62,0.579,173.5,6.8,17.0,11.8,7.6,18.0,3.7,0.5,21.6,-5.5,1.4,111.8,109.7,2.1,65.4,17.5,203.8,F,75,0,0,0,0,0,1,0,19,0,0.139,0.5,0.8,0.2,6,4,0.6,0.3,0.3,0.6,TELEKOM BASKETS BONN
82,JAIZEC LOTTIE,HAM,30,20.8,9.5,3.3,8.1,0.406,1.0,3.5,0.279,1.9,3.1,0.613,0.4,1.7,2.1,4.4,1.3,0.1,2.7,2.0,111,0.498,0.465,129.7,2.4,9.7,6.2,38.1,22.1,3.3,0.3,26.9,1.1,1.2,97.3,107.5,-10.3,179.1,14.0,622.7,PG,62,1,0,0,0,0,0,0,19,0,0.268,1.6,0.5,0.4,15,15,0.5,-0.5,1.0,0.5,VEOLIA TOWERS HAMBURG
83,VLADIMIR LUCIC,BAY,28,25.1,9.4,3.1,6.5,0.475,1.2,3.2,0.378,2.0,2.7,0.724,1.1,4.0,5.2,1.4,0.8,0.1,0.9,2.3,68,0.608,0.568,157.7,5.8,20.1,13.0,9.8,10.0,1.8,0.7,16.3,0.3,1.4,123.7,100.8,23.0,224.5,15.9,704.0,SF,15,3,0,0,0,0,0,0,22,0,0.162,1.6,1.0,0.4,23,5,0.821,1.8,1.8,3.6,BAYERN MUNICH
84,JEFF GARRETT,BVC,34,26.5,9.4,3.6,7.9,0.452,1.5,4.3,0.345,0.7,1.1,0.649,1.4,4.7,6.1,1.1,1.1,0.4,0.9,2.9,103,0.555,0.544,144.5,6.6,21.8,14.3,7.0,9.8,2.3,1.4,16.3,-0.7,1.2,112.7,107.8,4.9,277.4,14.4,899.3,F,25,2,0,0,0,0,1,0,22,0,0.16,1.2,1.3,0.1,19,15,0.559,1.2,1.4,2.5,BV CHEMNITZ 99
85,KYLE LOFTON,BRO,30,24.3,9.3,3.1,7.2,0.433,0.7,2.2,0.328,2.4,3.2,0.758,0.8,1.3,2.1,3.5,1.0,0.1,1.8,2.8,120,0.545,0.484,151.9,4.0,6.1,5.1,23.3,17.6,2.2,0.4,19.5,2.0,1.3,109.3,114.6,-5.3,178.1,13.3,727.5,SG,95,0,0,0,0,0,0,0,17,0,0.219,1.9,0.5,0.4,12,18,0.4,0.9,0.4,1.3,BROSE BASKETS BAMBERG
86,JUSTIN BEAN,BER,22,23.3,9.3,3.4,5.9,0.569,1.0,2.5,0.4,1.6,1.9,0.833,1.7,3.5,5.2,1.5,1.9,0.2,0.9,1.6,8,0.69,0.654,180.3,9.5,18.6,14.1,10.3,11.9,4.3,1.2,15.1,0.3,1.6,138.0,99.5,38.5,226.8,21.7,512.5,F,37,1,0,0,0,0,2,0,18,0,0.159,1.6,2.1,0.3,12,10,0.545,2.0,1.4,3.4,ALBA BERLIN
87,MATTEO SPAGNOLO,BER,19,19.2,9.3,3.2,6.6,0.488,0.4,1.2,0.348,2.4,3.3,0.73,0.4,2.0,2.4,2.9,0.7,0.1,2.4,1.7,105,0.576,0.52,156.6,2.5,13.4,8.0,25.8,23.1,1.9,0.3,25.1,-2.6,1.4,103.2,112.4,-9.2,101.1,14.4,364.2,SG,220,0,0,0,0,0,0,0,22,0,0.2,1.2,0.3,0.5,8,11,0.421,0.1,0.3,0.5,ALBA BERLIN
