#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
123,DOMINIC GILBERT,ZAD,28,20.9,6.8,2.8,5.7,0.491,0.2,0.8,0.238,1.0,1.5,0.651,1.5,2.9,4.3,1.2,0.7,0.1,1.0,2.0,117,0.531,0.506,138.0,9.1,18.1,13.5,10.7,13.6,1.9,0.4,17.3,-1.0,1.2,108.8,107.8,1.0,155.1,13.6,585.1,F,136,0,0,0,0,0,0,0,16,0,0.147,1.2,0.7,0.3,13,15,0.464,0.3,1.1,1.5,KK ZADAR
124,ROKAS GIEDRAITIS,ZVE,33,17.5,6.7,2.2,4.5,0.503,1.1,2.8,0.385,1.1,1.5,0.755,0.6,2.2,2.8,0.9,0.6,0.1,0.4,2.0,72,0.653,0.622,164.3,4.6,16.4,10.4,8.3,6.6,1.9,0.6,15.1,1.5,1.5,132.3,109.2,23.1,173.6,16.0,576.2,SG,88,0,0,0,0,0,0,0,19,0,0.102,2.6,1.7,0.3,25,8,0.758,1.6,1.0,2.6,KK CRVENA ZVEZDA
125,MARKO BAKOVIC,ZAD,17,20.0,6.6,2.4,5.4,0.451,1.2,3.1,0.404,0.6,0.9,0.667,0.7,2.2,2.9,0.9,0.5,1.0,0.9,3.1,134,0.579,0.566,152.1,4.7,13.5,9.3,8.2,14.1,1.5,5.8,16.4,-1.6,1.2,110.7,106.8,3.9,78.9,12.6,340.5,FC,77,0,0,0,0,0,0,1,14,0,0.12,1.0,0.6,0.2,9,8,0.529,0.3,0.7,1.0,KK ZADAR
126,MARKO JEREMIC,IGO,28,22.5,6.6,2.1,4.7,0.447,1.6,4.0,0.402,0.8,0.9,0.885,0.3,1.0,1.3,0.9,0.4,0.0,0.6,2.5,177,0.648,0.617,173.3,1.8,5.7,3.8,5.8,10.6,0.9,0.0,12.3,-0.2,1.4,123.1,121.8,1.3,89.8,9.1,629.7,SG,113,0,0,0,0,0,0,0,13,0,0.097,1.4,0.6,0.2,16,12,0.571,1.0,0.0,1.0,BC IGOEKA
127,IVAN MAJCUNIC,CIB,28,23.4,6.6,2.2,5.5,0.405,1.4,3.4,0.406,0.8,0.8,0.913,0.5,1.8,2.3,1.9,0.6,0.0,1.1,2.1,173,0.564,0.533,172.5,2.9,10.3,6.6,13.9,16.0,1.5,0.2,14.8,0.8,1.2,105.7,123.2,-17.5,125.1,9.5,654.2,SG,140,0,0,0,0,0,0,0,14,0,0.15,1.7,0.6,0.2,3,25,0.107,0.1,-0.1,0.0,KK CIBONA
128,KRSEVAN KLARICA,ZAD,30,16.7,6.6,2.2,5.3,0.418,1.4,3.5,0.387,0.8,1.0,0.774,0.4,1.3,1.7,0.6,0.4,0.0,0.6,1.9,149,0.574,0.547,157.9,3.1,10.0,6.5,7.0,10.0,1.5,0.2,18.7,-1.3,1.2,113.7,110.7,3.0,92.4,11.7,502.3,F,139,0,0,0,0,0,0,0,20,0,0.104,1.0,0.7,0.2,14,16,0.467,0.6,0.8,1.3,KK ZADAR
129,MARKO PAVICEVIC,BOR,27,17.3,6.6,2.4,5.2,0.471,0.1,0.1,0.5,1.6,2.5,0.632,1.4,2.8,4.2,0.7,0.4,0.7,1.7,2.6,141,0.521,0.479,160.4,10.1,21.6,15.7,7.9,21.7,1.4,4.2,22.5,-7.2,1.3,93.5,108.9,-15.4,108.8,12.3,466.8,C,31,1,0,0,0,0,0,0,23,0,0.115,0.4,0.3,0.5,9,18,0.333,-0.8,0.8,0.1,KK BORAC CACAK
130,TIMOTEJ MALOVEC,MEG,32,25.4,6.5,2.2,5.0,0.447,1.2,3.1,0.374,0.9,1.1,0.853,0.7,2.5,3.2,0.8,0.5,0.3,0.7,3.5,181,0.598,0.563,167.3,3.6,11.9,7.9,5.1,10.8,1.0,1.2,11.5,-0.4,1.3,116.5,114.1,2.4,131.8,8.8,812.2,GF,101,0,0,0,0,0,0,0,18,0,0.105,1.2,0.7,0.2,16,16,0.5,0.8,0.9,1.6,KK MEGA BEMAX
131,JACOREY WILLIAMS,DUB,31,12.8,6.4,2.8,4.4,0.652,0.0,0.0,0.0,0.7,1.4,0.524,1.1,2.4,3.4,0.6,0.5,0.2,1.1,2.0,32,0.645,0.652,117.6,11.3,22.6,17.2,9.7,17.7,1.9,1.7,22.6,-5.0,1.5,112.3,105.5,6.9,145.3,19.5,395.4,PF,35,1,0,0,0,0,0,0,21,0,0.117,0.6,0.4,0.3,24,7,0.774,0.5,0.9,1.4,DUBAI
132,NIKOLA MANOJLOVIC,BOR,29,20.0,6.3,2.4,4.6,0.526,0.6,1.6,0.391,0.9,1.6,0.578,1.2,2.7,3.9,0.9,0.9,0.3,0.9,2.6,101,0.602,0.594,149.5,7.4,18.2,12.5,7.5,14.5,2.5,1.5,14.9,-1.6,1.4,114.6,109.1,5.5,156.9,14.4,579.4,GF,60,0,0,0,0,0,0,0,15,0,0.117,1.0,1.0,0.3,10,19,0.345,0.7,1.0,1.7,KK BORAC CACAK
