#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
172,ALBERTO CABRERA,CART,20,18.1,5.0,1.5,4.8,0.313,0.6,2.4,0.255,1.4,2.0,0.692,1.0,1.7,2.7,2.9,1.3,0.2,1.7,2.2,166,0.437,0.375,126.0,6.2,11.3,8.7,25.4,23.1,3.8,1.2,18.6,1.1,1.0,92.7,108.7,-15.9,88.9,11.1,361.6,PG,181,0,0,0,0,0,0,0,14,0,0.154,1.7,0.8,0.4,9,11,0.45,-0.4,0.5,0.1,ODILO FC CARTAGENA CB
173,BORIS DALLO,BETIS,11,15.6,4.8,1.6,4.4,0.375,0.5,1.7,0.263,1.1,1.6,0.667,0.5,2.7,3.2,1.1,0.5,0.1,1.3,0.8,184,0.474,0.427,130.5,4.1,18.8,12.4,12.1,20.0,2.0,0.6,20.0,-3.6,1.1,91.7,102.3,-10.6,38.3,10.0,171.1,G,220,0,0,0,0,0,0,0,14,0,0.096,0.9,0.4,0.4,7,4,0.636,-0.2,0.4,0.2,REAL BETIS BALONCESTO
174,RODRIGO SEOANE,TIZ,36,17.8,4.8,1.7,4.2,0.411,0.6,2.1,0.303,0.7,0.8,0.857,1.0,1.9,2.9,0.5,0.4,0.1,0.7,2.1,203,0.524,0.487,157.0,7.1,13.7,10.3,4.1,13.3,1.2,0.5,13.1,-2.0,1.1,108.3,117.3,-9.0,108.0,8.8,639.9,F,203,0,0,0,0,0,0,0,13,0,0.072,0.7,0.6,0.2,14,22,0.389,0.4,0.2,0.6,GRUPO URETA TIZONA BURGOS
175,ALEX GALAN,OBR,35,13.6,4.7,1.6,3.8,0.429,0.5,1.4,0.375,1.0,1.5,0.642,0.8,1.5,2.3,0.6,0.3,0.3,0.9,2.3,173,0.531,0.496,144.5,8.2,14.5,11.4,8.0,17.0,1.3,2.1,20.0,-3.9,1.2,102.2,110.7,-8.5,82.4,10.8,475.7,C,75,0,0,0,0,0,0,0,14,0,0.081,0.7,0.3,0.4,22,13,0.629,0.0,0.6,0.6,MONBUS OBRADOIRO
176,AGUSTI SANS,VAL,34,17.7,4.6,1.7,4.5,0.375,0.6,2.2,0.27,0.7,0.9,0.719,0.1,1.5,1.6,3.0,0.5,0.0,1.2,1.8,197,0.473,0.441,136.4,0.6,10.9,5.5,28.6,19.8,1.5,0.2,16.5,4.4,1.0,99.2,118.8,-19.6,117.5,9.2,600.8,PG,43,1,0,0,0,0,0,0,15,0,0.17,2.5,0.4,0.2,11,23,0.324,-0.2,0.0,-0.1,UEMC REAL VALLADOLID BALONCESTO
177,TONI NASPLER PERAIRE,AQU,34,20.3,4.6,1.9,4.7,0.403,0.3,1.5,0.212,0.5,0.7,0.75,0.5,2.1,2.6,3.6,1.0,0.0,2.0,2.3,196,0.463,0.437,136.4,3.4,11.7,7.8,29.2,28.6,2.6,0.2,16.4,2.0,1.0,92.6,111.4,-18.8,149.3,9.2,691.2,PG,195,0,0,0,0,0,0,0,10,0,0.196,1.8,0.5,0.2,13,21,0.382,-0.8,0.8,-0.1,ZAMORA ENAMORA
178,OLEKSANDR LYPOVYY,LUC,9,21.2,4.6,1.6,5.4,0.286,1.2,4.4,0.275,0.2,0.6,0.4,0.9,2.3,3.2,0.6,0.9,0.2,0.6,2.8,225,0.4,0.398,96.1,4.5,15.0,9.1,5.2,8.9,2.4,1.2,14.5,-0.9,0.8,85.4,103.7,-18.3,23.6,6.5,191.1,PG,216,0,0,0,0,0,0,0,15,0,0.09,1.0,1.6,0.1,0,9,0.0,-0.3,0.4,0.1,HLA ALICANTE
179,ADRIA DOMENECH,BETIS,13,11.4,4.5,1.6,2.9,0.553,1.0,1.8,0.542,0.3,0.6,0.5,0.6,1.8,2.4,0.4,0.6,0.2,0.5,2.0,36,0.711,0.724,159.4,7.3,18.2,13.1,6.0,12.6,3.0,1.6,15.6,-1.8,1.6,130.5,100.8,29.7,48.8,18.7,148.4,C,66,0,0,0,0,0,0,0,11,0,0.07,0.8,1.3,0.2,10,3,0.769,0.5,0.4,0.8,REAL BETIS BALONCESTO
180,ALEX SUAREZ,BETIS,27,17.1,4.5,1.5,3.4,0.44,0.8,2.4,0.323,0.8,1.1,0.724,0.4,2.3,2.7,0.7,0.4,0.1,0.4,1.6,167,0.588,0.555,148.7,3.3,15.3,9.9,7.0,10.4,1.2,1.0,12.4,0.3,1.3,119.8,108.7,11.1,100.1,11.1,461.8,PF,118,0,0,0,0,0,0,0,15,0,0.077,1.7,0.8,0.3,20,7,0.741,0.7,0.7,1.4,REAL BETIS BALONCESTO
181,JOSH MBALLA,PAL,12,9.7,4.5,1.6,2.8,0.559,0.0,0.0,0.0,1.3,1.8,0.762,1.3,1.0,2.3,0.2,0.3,0.3,0.7,1.9,40,0.624,0.559,132.1,18.5,12.9,15.6,2.6,15.6,1.8,2.7,20.3,-5.4,1.6,121.4,101.5,19.8,35.1,18.3,116.5,SF,70,0,0,0,0,0,0,0,18,0,0.053,0.3,0.5,0.6,9,3,0.75,0.3,0.3,0.6,ZUNDER PALENCIA
