#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
28,GYTIS RADZEVICIUS,LIE,44,27.4,12.2,4.0,7.4,0.541,1.1,2.9,0.38,3.0,3.8,0.798,1.8,4.1,5.9,2.3,0.8,0.2,1.6,1.8,31,0.67,0.616,171.9,8.5,18.2,13.5,13.1,14.9,1.6,0.7,17.7,-0.1,1.6,131.2,111.9,19.3,479.3,17.7,1206.8,SF,7,3,0,0,0,0,0,0,23,0,0.198,1.5,0.5,0.5,33,11,0.75,3.4,2.3,5.7,LIETUVOS RYTAS
29,R.J. COLE,LIE,45,22.4,12.2,4.0,8.5,0.466,1.5,3.7,0.401,2.8,3.3,0.838,0.1,1.5,1.6,3.6,0.9,0.1,1.4,2.6,35,0.611,0.553,170.5,0.8,7.9,4.5,26.4,12.5,2.2,0.4,23.2,4.4,1.4,125.9,113.4,12.5,346.0,17.5,1008.5,G,75,0,0,0,0,0,0,0,23,0,0.239,2.5,0.6,0.4,33,12,0.733,2.8,1.7,4.5,LIETUVOS RYTAS
30,TAURAS JOGELA,SIA,27,22.0,12.0,3.9,7.1,0.555,1.4,3.0,0.463,2.7,3.5,0.777,0.9,2.9,3.7,1.6,0.9,0.4,1.0,3.0,19,0.695,0.654,179.5,5.5,16.7,11.3,11.4,10.4,2.0,2.1,19.6,0.3,1.7,136.2,120.4,15.7,235.8,19.2,595.3,GF,65,0,0,0,0,0,0,0,22,0,0.168,1.6,0.9,0.5,11,16,0.407,2.1,0.5,2.6,SIAULIAI
31,MARTYNAS PACEVICIUS,NEP,32,23.1,11.5,4.6,6.8,0.676,0.0,0.0,0.0,2.4,4.6,0.524,3.2,4.8,8.0,1.1,0.5,0.8,1.4,3.3,8,0.657,0.676,120.0,17.5,27.3,22.3,8.7,13.8,1.2,3.4,20.3,-2.9,1.7,124.6,113.9,10.8,347.4,20.8,740.3,C,1,9,0,0,0,0,0,0,22,0,0.19,0.8,0.4,0.7,12,20,0.375,1.7,1.2,2.9,NEPTUNAS
32,LUKAS ULECKAS,SIA,30,27.1,11.5,3.7,8.6,0.426,1.1,4.2,0.264,3.0,4.1,0.74,1.7,4.1,5.8,2.0,1.3,0.2,2.0,2.2,72,0.551,0.49,143.0,8.1,19.8,14.0,11.1,16.3,2.5,0.8,20.7,-2.5,1.3,108.9,119.7,-10.8,259.9,13.8,814.4,SG,21,2,0,0,0,0,0,0,28,0,0.176,1.0,0.7,0.5,12,18,0.4,0.1,0.7,0.9,SIAULIAI
33,GEDIMINAS ORELIK,JUV,9,25.8,11.4,3.7,9.0,0.407,2.2,6.1,0.364,1.9,2.6,0.739,0.3,1.9,2.2,2.4,0.2,0.0,2.6,2.6,120,0.565,0.531,151.0,1.7,9.4,5.6,16.0,20.2,0.5,0.0,23.6,-3.6,1.3,99.4,111.9,-12.5,38.9,8.7,232.3,SF,101,0,0,0,0,0,0,0,21,0,0.208,1.0,0.1,0.3,4,5,0.444,-0.3,0.4,0.1,JUVENTUS
34,MAREK BLAZEVIC,WOLV,33,19.4,11.0,3.8,5.4,0.702,0.0,0.0,0.0,3.5,4.7,0.735,1.6,2.7,4.3,1.3,0.2,0.2,1.6,3.1,14,0.739,0.702,143.8,11.8,17.8,14.9,12.2,17.4,0.7,1.4,22.0,-3.7,2.0,132.2,122.8,9.4,247.9,19.9,639.1,C,22,1,0,0,0,0,0,0,24,0,0.17,0.8,0.2,0.9,17,16,0.515,2.3,0.3,2.6,WOLVES TWINSBET VILNIUS
35,SUKHMAIL MATHON,JUV,13,25.5,10.9,4.2,7.3,0.579,0.2,0.3,0.5,2.3,2.8,0.833,1.8,3.8,5.7,2.2,0.4,0.7,1.2,2.5,22,0.641,0.589,191.2,10.1,23.5,16.4,13.2,11.9,0.8,2.9,18.0,1.1,1.5,131.2,122.3,8.9,129.3,18.5,331.1,C,26,1,0,0,0,0,0,0,19,0,0.198,1.9,0.3,0.4,5,8,0.385,1.0,0.2,1.2,JUVENTUS
36,MARKO PECARSKI,TEC,11,23.5,10.9,4.2,7.3,0.575,0.9,1.7,0.526,1.6,2.0,0.818,2.5,2.7,5.3,1.2,0.3,0.2,1.1,2.4,24,0.669,0.638,191.9,15.1,17.5,16.2,9.5,11.8,0.6,0.9,18.8,-1.3,1.5,133.1,117.5,15.5,95.3,18.5,258.0,C,35,1,0,0,0,0,0,0,19,0,0.19,1.1,0.3,0.3,5,6,0.455,0.8,0.3,1.1,7BET-LIETKABELIS PANEVEZYS
37,MINDAUGAS KUPSAS,SIA,38,21.0,10.9,3.8,6.3,0.611,0.0,0.0,0.0,3.2,4.4,0.725,2.0,3.1,5.0,1.0,0.5,0.7,1.3,2.9,20,0.661,0.611,133.5,12.6,19.1,15.9,8.0,13.3,1.2,3.8,20.5,-2.7,1.7,127.8,121.9,5.9,315.6,19.1,797.6,C,6,4,0,0,0,0,0,0,23,0,0.151,0.8,0.4,0.7,14,24,0.368,2.2,0.5,2.7,SIAULIAI
38,PAULIUS DANUSEVICIUS,TEC,34,28.6,10.8,4.3,8.3,0.512,1.0,3.1,0.318,1.2,1.7,0.724,2.3,4.3,6.6,2.0,0.9,0.4,1.7,1.9,55,0.593,0.572,155.4,10.2,19.9,14.9,12.0,16.1,1.7,1.5,17.6,-1.3,1.3,115.0,109.0,6.0,341.8,14.9,972.0,SF,5,4,0,0,0,0,0,0,17,0,0.213,1.2,0.5,0.2,20,14,0.588,0.9,2.2,3.1,7BET-LIETKABELIS PANEVEZYS
39,ZANE WATERMAN,NEP,38,22.7,10.7,3.9,7.6,0.519,1.1,3.4,0.321,1.7,2.5,0.702,1.4,3.0,4.4,1.6,0.4,0.2,2.0,3.4,83,0.618,0.592,154.2,7.9,17.5,12.6,12.1,18.5,0.9,0.7,21.8,-4.2,1.4,110.4,119.8,-9.4,234.3,13.0,862.4,F,36,1,0,0,0,0,0,0,22,0,0.185,0.8,0.2,0.3,14,24,0.368,0.3,0.8,1.1,NEPTUNAS
40,MARGIRIS NORMANTAS,LIE,46,20.9,10.7,3.4,8.0,0.427,1.6,4.5,0.361,2.2,2.8,0.789,0.7,1.9,2.7,2.9,0.8,0.1,1.6,2.2,48,0.577,0.528,157.7,4.6,11.0,7.9,22.0,14.8,2.0,0.3,23.5,1.6,1.3,117.9,112.4,5.5,316.5,15.5,962.5,G,33,1,0,0,0,0,1,0,34,0,0.198,1.8,0.5,0.3,34,12,0.739,1.6,1.8,3.3,LIETUVOS RYTAS
41,MARTYNAS VARNAS,TEC,38,25.6,10.6,3.2,7.2,0.452,1.6,4.2,0.379,2.5,2.9,0.856,0.5,2.1,2.5,1.7,0.8,0.2,1.0,2.5,80,0.626,0.564,168.7,2.4,11.0,6.6,10.7,10.6,1.6,0.7,17.3,0.4,1.5,125.4,112.9,12.5,244.9,13.1,974.6,F,112,0,0,0,0,0,0,0,19,0,0.168,1.7,0.8,0.4,22,16,0.579,1.9,1.7,3.6,7BET-LIETKABELIS PANEVEZYS
42,ARNOLDAS KULBOKA,WOLV,28,20.4,10.4,3.3,6.5,0.503,1.8,3.9,0.468,2.1,2.3,0.906,0.6,2.6,3.2,0.8,0.4,0.1,0.5,0.9,30,0.696,0.644,187.7,4.2,16.9,10.8,6.8,6.7,1.1,0.4,18.5,0.1,1.6,140.2,124.4,15.8,212.0,17.9,570.4,SF,85,0,0,0,0,0,0,0,19,0,0.136,1.5,0.8,0.4,14,14,0.5,2.0,0.2,2.2,WOLVES TWINSBET VILNIUS
43,IGNAS BRAZDEIKIS,ZAL,45,20.1,10.3,3.9,7.5,0.519,1.2,3.0,0.414,1.3,1.9,0.682,0.8,2.3,3.1,1.8,0.5,0.2,1.0,1.9,25,0.618,0.601,161.5,5.9,14.9,10.5,15.1,10.3,1.5,1.2,22.7,1.4,1.4,125.5,107.2,18.3,323.6,18.4,904.3,SF,63,0,0,0,0,0,0,0,26,0,0.178,1.9,0.6,0.3,41,4,0.911,2.3,2.3,4.6,ZALGIRIS
44,OSKARAS PLEIKYS,JJ,24,20.3,10.3,4.0,7.2,0.552,0.4,1.1,0.385,1.9,3.0,0.63,2.2,2.6,4.8,1.4,0.3,0.1,1.3,2.3,36,0.603,0.581,156.7,13.9,17.6,15.7,11.4,13.6,0.8,0.7,22.3,-2.0,1.4,120.9,120.9,0.0,171.6,17.4,486.5,C,25,1,0,0,0,0,0,0,20,0,0.167,1.0,0.2,0.4,12,12,0.5,1.0,0.3,1.3,JONAVA JONAVOS
