#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
53,ALEX POYTHRESS,ZEN,60,19.3,9.8,3.7,6.0,0.615,0.0,0.3,0.111,2.5,3.2,0.766,1.9,3.1,5.0,0.4,0.7,0.9,0.9,2.5,5,0.666,0.617,149.1,12.6,19.3,16.1,4.0,10.9,2.0,4.9,20.4,-3.2,1.6,130.7,99.8,30.9,497.0,23.1,1160.3,F,177,0,0,0,0,0,1,0,23,0,0.136,0.5,0.8,0.5,48,12,0.8,5.0,3.0,8.0,ZENIT SAINT PETERSBURG
54,TONY TAYLOR,UNI,29,24.0,9.8,3.2,7.5,0.431,1.2,3.6,0.343,2.1,2.4,0.87,0.6,1.6,2.2,4.3,1.0,0.0,1.0,2.2,28,0.572,0.514,164.4,3.1,8.6,5.8,28.6,10.5,2.4,0.0,18.7,8.0,1.3,128.8,103.8,25.0,240.4,17.9,697.2,PG,21,1,0,0,0,0,0,0,23,0,0.248,4.3,1.0,0.3,23,6,0.793,2.9,1.3,4.2,UNICS KAZAN
55,ALEXANDER ZAKHAROV,PARM,44,23.3,9.3,3.3,7.5,0.432,1.3,4.0,0.324,1.5,2.1,0.713,1.0,2.5,3.4,1.1,0.5,0.1,1.0,3.0,107,0.551,0.518,146.9,5.2,13.1,9.1,8.1,10.1,1.3,0.4,19.1,-1.0,1.2,110.0,115.1,-5.1,219.0,12.2,1025.9,GF,111,0,0,0,0,0,0,0,23,0,0.151,1.1,0.6,0.3,16,28,0.364,1.3,0.4,1.7,PARMA BASKET PERM
56,ALEXEY SHVED,ZEN,33,19.8,9.0,2.9,7.6,0.384,1.5,4.4,0.349,1.7,2.1,0.797,0.3,1.8,2.2,5.1,0.5,0.3,1.8,1.7,31,0.531,0.486,153.0,2.2,11.1,6.8,45.1,17.9,1.4,1.7,25.3,8.0,1.2,113.2,106.9,6.3,248.1,17.5,652.4,G,19,2,0,0,0,0,0,0,22,0,0.275,2.8,0.3,0.3,26,7,0.788,1.7,1.0,2.7,ZENIT SAINT PETERSBURG
57,ALEXANDR CHADOV,NIZ,48,23.6,9.0,3.3,6.8,0.491,0.8,2.2,0.356,1.6,2.2,0.736,2.0,2.6,4.6,1.4,0.6,0.4,0.8,2.4,54,0.584,0.548,158.2,11.1,15.0,13.0,10.3,8.9,1.4,1.6,17.1,0.7,1.3,124.2,114.1,10.1,356.3,15.8,1132.3,F,18,2,0,0,0,0,0,0,24,0,0.165,1.8,0.8,0.3,19,29,0.396,3.3,0.6,3.8,NIZHNY NOVGOROD
58,ISMAEL BAKO,UNI,49,23.1,8.9,3.4,5.0,0.68,0.0,0.0,0.0,2.0,2.6,0.792,2.8,3.7,6.5,0.7,0.8,1.2,0.8,1.9,11,0.72,0.68,147.2,15.3,20.6,17.9,4.9,11.4,1.8,5.9,14.0,-1.4,1.8,143.8,98.5,45.2,524.9,22.0,1130.6,C,5,5,0,0,0,0,1,0,18,0,0.134,0.9,1.0,0.5,37,12,0.755,5.1,3.1,8.2,UNICS KAZAN
59,ILYA PLATONOV,SAM,11,22.6,8.8,2.5,5.5,0.45,1.4,2.9,0.469,2.5,3.3,0.778,0.9,3.6,4.5,0.7,0.6,0.1,1.3,1.7,84,0.64,0.575,169.7,5.0,22.4,13.2,6.9,15.6,1.5,0.4,17.6,-3.4,1.6,111.7,130.6,-18.8,71.0,13.8,248.6,SF,160,0,0,0,0,0,0,0,14,0,0.138,0.6,0.5,0.6,1,10,0.091,0.4,-0.5,-0.1,SAMARA
60,ALEXANDER KHOMENKO,NIZ,46,23.2,8.8,2.8,6.8,0.413,1.2,3.0,0.41,2.0,2.4,0.804,0.7,2.9,3.5,3.3,1.1,0.0,1.7,2.7,80,0.561,0.505,162.7,3.8,16.7,10.2,24.5,18.1,2.5,0.1,19.7,2.1,1.3,111.5,111.5,0.0,320.5,14.1,1067.6,G,20,1,0,0,0,0,2,0,26,0,0.216,1.9,0.6,0.4,19,27,0.413,1.8,0.9,2.7,NIZHNY NOVGOROD
61,ANDREY MARTYUK,LOK,47,16.2,8.6,3.4,7.1,0.485,0.5,1.6,0.297,1.3,1.8,0.698,1.7,3.3,5.0,1.0,0.4,0.6,1.1,2.2,22,0.546,0.518,148.0,12.8,25.0,18.9,11.3,11.9,1.3,3.8,24.4,-2.3,1.2,111.0,101.0,10.1,312.0,18.9,761.8,F,8,3,0,0,0,0,0,0,27,0,0.146,0.9,0.4,0.3,31,16,0.66,1.4,1.8,3.2,LOKOMOTIV KUBAN
62,VINCE HUNTER,ZEN,58,19.4,8.4,3.2,5.2,0.613,0.0,0.0,0.0,2.1,3.2,0.661,2.0,3.5,5.5,1.1,1.1,0.9,0.9,2.6,7,0.643,0.613,127.5,13.3,22.0,17.8,9.9,12.6,3.2,4.5,18.5,-1.0,1.6,128.8,97.0,31.8,513.6,22.8,1125.5,F,13,2,0,0,0,0,1,1,19,0,0.143,1.2,1.2,0.6,46,12,0.793,4.4,3.3,7.7,ZENIT SAINT PETERSBURG
