#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
145,GIORGOS FILLIOS,ARI,16,9.8,2.1,0.7,2.3,0.297,0.4,1.4,0.261,0.3,0.5,0.625,0.3,0.6,0.8,0.6,0.3,0.1,0.3,0.8,149,0.407,0.378,118.3,3.0,7.0,5.0,9.1,9.0,1.7,0.7,12.9,1.2,0.9,94.5,112.1,-17.6,18.0,5.4,156.6,G,50,0,0,0,0,0,0,0,9,0,0.045,2.3,1.3,0.2,6,10,0.375,-0.1,0.2,0.1,ARIS MIDEA THESSALONIKI
146,SOTIRIS STAVRAKOPOULOS,PER,13,5.8,1.6,0.5,1.3,0.412,0.4,1.1,0.357,0.2,0.3,0.5,0.0,0.5,0.5,0.0,0.1,0.0,0.2,0.6,150,0.56,0.559,126.9,0.0,10.6,5.0,0.0,13.8,0.7,0.0,14.0,-4.0,1.2,94.4,124.1,-29.7,5.3,4.8,75.5,GF,90,0,0,0,0,0,0,0,6,0,0.021,0.0,0.3,0.2,2,11,0.154,-0.1,0.0,-0.1,PERISTERI BC
147,VASSILIS XANTHOPOULOS,PER,16,13.7,1.6,0.5,2.0,0.25,0.4,1.5,0.25,0.2,0.4,0.5,0.2,0.6,0.8,2.9,0.8,0.1,0.6,1.9,137,0.361,0.344,100.0,1.7,5.5,3.5,33.7,22.4,3.1,0.5,10.0,9.8,0.8,102.9,119.4,-16.5,42.0,7.6,219.1,PG,145,0,0,0,0,0,0,0,8,0,0.128,4.6,1.2,0.2,4,12,0.25,0.0,0.0,0.0,PERISTERI BC
148,IOANNIS KARAKOSTAS,MAR,20,7.4,1.5,0.4,1.7,0.235,0.3,1.0,0.263,0.5,0.5,0.9,0.2,0.3,0.5,0.6,0.3,0.0,0.6,1.5,155,0.391,0.309,139.8,2.5,4.8,3.6,12.0,23.8,1.8,0.0,16.1,-3.1,0.9,76.0,117.7,-41.7,-2.8,0.6,147.4,PG,136,0,0,0,0,0,0,0,7,0,0.035,0.9,0.4,0.3,6,14,0.3,-0.4,0.1,-0.4,MAROUSSI BC
149,ANGELOS LAGIOS,PROM,16,9.2,1.4,0.5,1.0,0.5,0.1,0.1,0.5,0.4,0.8,0.462,0.4,0.6,1.0,0.4,0.4,0.1,0.4,1.5,145,0.529,0.531,146.2,6.0,8.5,7.2,7.7,21.6,2.3,1.5,9.0,-0.9,1.4,101.7,115.3,-13.6,16.9,6.1,147.6,F,148,0,0,0,0,0,0,0,9,0,0.035,1.2,1.0,0.8,7,9,0.438,0.0,0.1,0.1,ASP PROMITHEAS PATRAS
150,ZOIS KARAMPELAS,ATH,22,7.3,1.3,0.5,1.0,0.5,0.2,0.6,0.308,0.1,0.4,0.25,0.3,0.5,0.8,1.2,0.4,0.0,0.5,1.3,134,0.549,0.591,105.8,4.9,9.0,7.1,23.7,32.0,3.1,0.0,11.3,3.3,1.3,104.1,107.2,-3.1,32.0,8.4,159.6,PG,128,0,0,0,0,0,0,0,7,0,0.055,2.2,0.8,0.4,16,6,0.727,0.0,0.3,0.3,AEK ATHENS
151,CHRISTOS IORDANOU,MAR,11,4.3,1.2,0.5,0.9,0.5,0.2,0.4,0.5,0.1,0.3,0.333,0.2,0.4,0.5,0.2,0.3,0.0,0.0,0.9,111,0.574,0.6,133.3,4.8,9.6,7.2,6.6,0.0,3.3,0.0,10.8,2.7,1.3,127.5,114.8,12.7,9.4,10.9,47.8,SG,80,0,0,0,0,0,0,0,9,0,0.021,0.0,0.0,0.3,3,8,0.273,0.1,0.0,0.1,MAROUSSI BC
152,KONSTANTINOS IATRIDIS,PAOK,18,5.0,1.1,0.4,1.2,0.318,0.3,1.2,0.286,0.0,0.0,0.0,0.2,1.1,1.3,0.1,0.1,0.2,0.2,0.7,143,0.455,0.455,60.4,3.9,27.6,15.3,1.9,15.4,1.2,3.6,13.6,-3.7,0.9,86.5,109.0,-22.6,17.0,6.4,89.2,C,73,0,0,0,0,0,0,0,6,0,0.016,0.3,0.5,0.0,6,12,0.333,-0.1,0.1,0.0,PAOK BC
153,ORFEAS STASINOS,MAR,10,3.3,1.1,0.4,1.0,0.4,0.2,0.7,0.286,0.1,0.1,1.0,0.1,0.3,0.4,0.4,0.2,0.0,0.5,0.4,139,0.527,0.5,168.6,3.6,10.9,7.2,22.6,32.4,3.2,0.0,22.1,-6.9,1.1,81.4,109.1,-27.7,5.4,7.0,33.4,G,65,0,0,0,0,0,0,0,5,0,0.03,0.8,0.4,0.1,3,7,0.3,-0.1,0.0,-0.1,MAROUSSI BC
154,ANDREAS PATRIKIS,LAV,13,5.9,1.1,0.5,1.1,0.5,0.0,0.1,0.0,0.0,0.1,0.0,0.3,0.7,1.0,0.2,0.2,0.0,0.2,0.8,140,0.485,0.5,50.0,5.9,14.6,10.0,6.8,12.2,1.4,0.0,10.3,0.0,1.0,100.9,119.2,-18.3,11.4,6.9,76.4,F,104,0,0,0,0,0,0,0,4,0,0.029,1.5,1.0,0.1,1,12,0.077,0.0,0.0,0.0,GS LAVRIO
155,ALEX ANTETOKOUNMPO,PAOK,18,4.4,0.9,0.3,1.8,0.156,0.1,0.9,0.063,0.3,0.6,0.6,0.5,0.5,1.0,0.2,0.2,0.2,0.2,1.1,154,0.234,0.172,81.9,13.2,13.8,13.5,6.2,7.6,2.0,3.9,22.9,-1.2,0.5,68.3,111.6,-43.3,1.5,0.7,80.0,SF,67,0,0,0,0,0,0,0,7,0,0.016,1.0,1.0,0.3,7,11,0.389,-0.4,0.1,-0.3,PAOK BC
156,TILEMACHOS VISSARIOU,ARI,16,8.5,0.9,0.3,1.5,0.167,0.2,1.2,0.158,0.3,0.5,0.5,0.0,0.7,0.7,0.4,0.1,0.1,0.3,1.3,156,0.273,0.229,82.5,0.0,9.8,4.8,6.4,12.7,0.4,0.8,10.5,0.0,0.6,64.9,116.3,-51.4,-3.8,-1.4,136.2,G,109,0,0,0,0,0,0,0,6,0,0.021,1.5,0.3,0.3,7,9,0.438,-0.3,0.1,-0.3,ARIS MIDEA THESSALONIKI
